population;reagent;Annotation 1;plate;sampleID;stimulation;time;median
CD4Tcells;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,326770186
CD4Tcells;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,863360763
CD4Tcells;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
CD4Tcells;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD4Tcells;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD4Tcells;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,115411758
CD4Tcells;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,971612036
CD4Tcells;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,802006245
CD4Tcells;166Er_pNFkB;Surge;27;Surge;Unstim;IC;23,80056763
CD4Tcells;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,756687164
CD4Tcells;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,090122223
CD4TCD45pos;149Sm_pCREB;Surge;27;Surge;Unstim;IC;0,998321533
CD4TCD45pos;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,758855462
CD4TCD45pos;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
CD4TCD45pos;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD4TCD45pos;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD4TCD45pos;155Gd_pS6;Surge;27;Surge;Unstim;IC;2,778425694
CD4TCD45pos;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,425207496
CD4TCD45pos;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,963330269
CD4TCD45pos;166Er_pNFkB;Surge;27;Surge;Unstim;IC;21,54691696
CD4TCD45pos;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,747103691
CD4TCD45pos;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,242853642
CD4TCD45RAneg;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,620911419
CD4TCD45RAneg;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,978189975
CD4TCD45RAneg;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
CD4TCD45RAneg;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD4TCD45RAneg;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD4TCD45RAneg;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,461259723
CD4TCD45RAneg;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,695696771
CD4TCD45RAneg;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,696110249
CD4TCD45RAneg;166Er_pNFkB;Surge;27;Surge;Unstim;IC;25,72724342
CD4TCD45RAneg;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,771641731
CD4TCD45RAneg;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,013499737
CD4Tcm;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,52361685
CD4Tcm;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,907917917
CD4Tcm;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
CD4Tcm;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD4Tcm;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD4Tcm;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,37976265
CD4Tcm;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,686161131
CD4Tcm;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,649008989
CD4Tcm;166Er_pNFkB;Surge;27;Surge;Unstim;IC;25,15853786
CD4Tcm;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,830615401
CD4Tcm;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,052866697
CD4Tem;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,894818544
CD4Tem;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;1,101161301
CD4Tem;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
CD4Tem;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD4Tem;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD4Tem;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,531002045
CD4Tem;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,646060973
CD4Tem;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,683688402
CD4Tem;166Er_pNFkB;Surge;27;Surge;Unstim;IC;27,08463573
CD4Tem;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,637928486
CD4Tem;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;3,768631339
CD4Temra;149Sm_pCREB;Surge;27;Surge;Unstim;IC;2,304103851
CD4Temra;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,782759309
CD4Temra;151Eu_pp38;Surge;27;Surge;Unstim;IC;0,089860775
CD4Temra;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD4Temra;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD4Temra;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,591946363
CD4Temra;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,97434926
CD4Temra;164Dy_IkB;Surge;27;Surge;Unstim;IC;5,2572999
CD4Temra;166Er_pNFkB;Surge;27;Surge;Unstim;IC;26,22037315
CD4Temra;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,302044868
CD4Temra;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;3,371559858
CD4Tnaive;149Sm_pCREB;Surge;27;Surge;Unstim;IC;0,996033609
CD4Tnaive;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,759828329
CD4Tnaive;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
CD4Tnaive;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD4Tnaive;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD4Tnaive;155Gd_pS6;Surge;27;Surge;Unstim;IC;2,780102253
CD4Tnaive;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,407217681
CD4Tnaive;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,951370001
CD4Tnaive;166Er_pNFkB;Surge;27;Surge;Unstim;IC;21,55186844
CD4Tnaive;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,756239772
CD4Tnaive;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,251660585
Treg;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,294027388
Treg;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,643253565
Treg;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
Treg;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
Treg;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
Treg;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,402932882
Treg;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,772113204
Treg;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,163525105
Treg;166Er_pNFkB;Surge;27;Surge;Unstim;IC;23,68040657
Treg;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,714616418
Treg;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,103848457
Tregmem;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,294027388
Tregmem;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,651607722
Tregmem;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
Tregmem;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
Tregmem;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
Tregmem;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,447342157
Tregmem;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,602102578
Tregmem;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,103299379
Tregmem;166Er_pNFkB;Surge;27;Surge;Unstim;IC;24,36651421
Tregmem;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,722445726
Tregmem;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,120201349
Tregnaive;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,300484896
Tregnaive;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,590066046
Tregnaive;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
Tregnaive;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
Tregnaive;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
Tregnaive;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,178828716
Tregnaive;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,223262906
Tregnaive;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,263033152
Tregnaive;166Er_pNFkB;Surge;27;Surge;Unstim;IC;22,05798244
Tregnaive;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,708557487
Tregnaive;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,100316048
Th1;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,981086254
Th1;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;1,032874703
Th1;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
Th1;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
Th1;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
Th1;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,695344448
Th1;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,160167456
Th1;164Dy_IkB;Surge;27;Surge;Unstim;IC;5,015936375
Th1;166Er_pNFkB;Surge;27;Surge;Unstim;IC;26,58989906
Th1;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,719802856
Th1;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,046303749
Th1mem;149Sm_pCREB;Surge;27;Surge;Unstim;IC;2,142121077
Th1mem;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;1,03302753
Th1mem;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
Th1mem;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
Th1mem;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
Th1mem;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,892794371
Th1mem;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,850688994
Th1mem;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,885204315
Th1mem;166Er_pNFkB;Surge;27;Surge;Unstim;IC;27,99269295
Th1mem;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,671425343
Th1mem;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;3,955726862
Th1naive;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,298763514
Th1naive;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,955467224
Th1naive;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
Th1naive;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
