,C'=' 0.049,C'=' 0.586,C'=' 1.123,C'=' 1.660,C'=' 2.196,C'=' 2.733,C'=' 3.270,C'=' 3.807,C'=' 4.344,C'=' 4.881
artificial.29,0.0,0.163,0.211,0.246,0.277,0.304,0.333,0.355,0.372,0.388
artificial.30,0.0,0.383,0.461,0.5,0.536,0.575,0.6,0.613,0.635,0.652
artificial.31,0.0,0.034,0.053,0.069,0.084,0.087,0.095,0.104,0.114,0.127
artificial.32,0.0,0.077,0.11,0.135,0.151,0.167,0.181,0.204,0.214,0.224
artificial.33,0.0,0.192,0.253,0.296,0.332,0.366,0.387,0.406,0.425,0.441
artificial.34,0.0,0.027,0.052,0.066,0.086,0.096,0.113,0.122,0.134,0.142
artificial.35,0.0,0.134,0.179,0.21,0.232,0.254,0.271,0.289,0.306,0.323
artificial.36,0.0,0.007,0.021,0.03,0.042,0.053,0.065,0.073,0.08,0.091
artificial.37,0.0,0.013,0.036,0.044,0.056,0.075,0.088,0.104,0.115,0.131
artificial.38,0.0,0.013,0.027,0.047,0.064,0.08,0.099,0.112,0.121,0.131
artificial.39,0.0,0.003,0.006,0.01,0.016,0.022,0.028,0.04,0.05,0.057
artificial.40,0.0,0.224,0.255,0.266,0.282,0.287,0.299,0.308,0.317,0.33
artificial.41,0.0,0.07,0.099,0.126,0.143,0.16,0.171,0.191,0.201,0.219
