Feature name,p-value (Spearman correlation),Corrected p-value (Bonferroni)
NKT_156Gd_IkB_unstim,0.02840020319601455,1.0
Tregs_166Er_NFkB_unstim,0.029780224940461147,1.0
CD56hiCD16negNK_154Sm_STAT3_IL246,0.03087083992299577,1.0
CD4Tcm_166Er_NFkB_unstim,0.030972103386216743,1.0
CD4Tem_155Gd_S6_IFNa,0.030985877008041222,1.0
CD4Tcm_155Gd_S6_IFNa,0.03142241770071653,1.0
cMCs_166Er_NFkB_unstim,0.03159817891424615,1.0
MDSCs_167Er_ERK_GMCSF,0.03199932180138052,1.0
CD56loCD16posNK_166Er_NFkB_unstim,0.03217581067916534,1.0
CD56hiCD16negNK_154Sm_STAT3_IFNa,0.032613313452184066,1.0
Tregs_156Gd_IkB_LPS,0.03266612336562292,1.0
CD4negCD8negTcells_167Er_ERK_IL246,0.03353665040817774,1.0
CD56hiCD16negNK_149Sm_CREB_LPS,0.03460957595264206,1.0
Granulocytes_156Gd_IkB_LPS,0.03497452000523032,1.0
cMCs_149Sm_CREB_IFNa,0.03500697045862624,1.0
CD4Teff_150Nd_STAT5_unstim,0.03536175573386915,1.0
pDCs_149Sm_CREB_unstim,0.03549133543861158,1.0
CD8Teff_168Er_STAT6_unstim,0.03551224849584428,1.0
intMCs_154Sm_STAT3_IL246,0.03578566576733852,1.0
cMCs_151Eu_p38_LPS,0.036101828653641005,1.0
CD56loCD16posNK_168Er_STAT6_unstim,0.036423670930104776,1.0
CD56hiCD16negNK_159Tb_MAPKAPK2_IFNa,0.03646163375671945,1.0
CD4Tcm_154Sm_STAT3_IL246,0.0369311217181554,1.0
CD56loCD16posNK_155Gd_S6_LPS,0.03696709710364879,1.0
CD56hiCD16negNK_168Er_STAT6_unstim,0.03709844784066321,1.0
NKT_149Sm_CREB_unstim,0.03730623466669537,1.0
Tregs_159Tb_MAPKAPK2_IL246,0.037464957565688566,1.0
pDCs_155Gd_S6_IL246,0.03767751655105763,1.0
CD4negCD8negTcells_166Er_NFkB_unstim,0.037874087502226164,1.0
CD8Tem_155Gd_S6_IFNa,0.03931490970696379,1.0
Granulocytes_149Sm_CREB_GMCSF,0.040405579857484476,1.0
ncMCs_151Eu_p38_GMCSF,0.04117891220057256,1.0
CD56hiCD16negNK_150Nd_STAT5_IFNa,0.04125479746255025,1.0
CD8Tcm_154Sm_STAT3_IFNa,0.04262938378324026,1.0
CD56loCD16posNK_166Er_NFkB_LPS,0.04263839948659322,1.0
CD4Tcm_156Gd_IkB_IFNa,0.04299125877313887,1.0
cMCs_156Gd_IkB_unstim,0.04604224578218185,1.0
intMCs_168Er_STAT6_IL246,0.04617621916163054,1.0
CD8Tcm_166Er_NFkB_unstim,0.04703405567128916,1.0
CD8Tem_168Er_STAT6_IL246,0.04812333157894605,1.0
NKT_150Nd_STAT5_IFNa,0.049843998570884264,1.0
cMCs_151Eu_p38_GMCSF,0.049977486690446445,1.0
pDCs_153Eu_STAT1_IL246,0.050415384808390674,1.0
cMCs_168Er_STAT6_IL246,0.050738097311522234,1.0
MDSCs_151Eu_p38_LPS,0.0507424874472789,1.0
Granulocytes_159Tb_MAPKAPK2_unstim,0.051248932630845845,1.0
CD4Tem_150Nd_STAT5_unstim,0.051779495296249846,1.0
intMCs_156Gd_IkB_LPS,0.05288888950018643,1.0
mDCs_155Gd_S6_IFNa,0.05372489711084716,1.0
CD4Tcm_168Er_STAT6_unstim,0.0551555219997405,1.0
CD56loCD16posNK_156Gd_IkB_unstim,0.055202315654221276,1.0
CD4negCD8negTcells_156Gd_IkB_IL246,0.05549540826065887,1.0
intMCs_167Er_ERK_IL246,0.055703380556390396,1.0
Bcells_166Er_NFkB_unstim,0.05582611665340024,1.0
Tregs_167Er_ERK_unstim,0.057443946507658036,1.0
NKT_156Gd_IkB_IFNa,0.05822133799347743,1.0
mDCs_167Er_ERK_GMCSF,0.05839327778181587,1.0
intMCs_151Eu_p38_IL246,0.059215410341084435,1.0
mDCs_155Gd_S6_unstim,0.05946755449817735,1.0
ncMCs_155Gd_S6_unstim,0.059491321109782225,1.0
pDCs_167Er_ERK_GMCSF,0.060559250881873,1.0
Granulocytes_151Eu_p38_LPS,0.06196579046822269,1.0
pDCs_151Eu_p38_GMCSF,0.062055100798461306,1.0
CD4Tem_154Sm_STAT3_IL246,0.06256750308812366,1.0
CD4negCD8negTcells_167Er_ERK_unstim,0.06301784713401937,1.0
CD4Teff_154Sm_STAT3_IL246,0.06424229028753181,1.0
CD4Tnaive_167Er_ERK_unstim,0.06522296674598108,1.0
Granulocytes_150Nd_STAT5_unstim,0.06577913948230259,1.0
Bcells_149Sm_CREB_unstim,0.0659989672236054,1.0
intMCs_166Er_NFkB_IL246,0.06615422706742238,1.0
ncMCs_154Sm_STAT3_GMCSF,0.0673162616009387,1.0
Tregs_156Gd_IkB_IFNa,0.06743798283482375,1.0
CD4negCD8negTcells_159Tb_MAPKAPK2_unstim,0.06855787644032035,1.0
Granulocytes_166Er_NFkB_unstim,0.0697037377450926,1.0
CD8Teff_167Er_ERK_IFNa,0.07010373012390844,1.0
Granulocytes_151Eu_p38_unstim,0.07193142530762622,1.0
intMCs_156Gd_IkB_IL246,0.07221175789941785,1.0
CD56hiCD16negNK_156Gd_IkB_LPS,0.07396168516322715,1.0
Granulocytes_167Er_ERK_IL246,0.07434923388215685,1.0
cMCs_151Eu_p38_IL246,0.07680319436499276,1.0
NKT_159Tb_MAPKAPK2_IFNa,0.07689604046503361,1.0
Bcells_167Er_ERK_IL246,0.07767302264993882,1.0
mDCs_149Sm_CREB_GMCSF,0.07792713627107528,1.0
ncMCs_156Gd_IkB_unstim,0.08357692365129926,1.0
ncMCs_155Gd_S6_IFNa,0.08441919848204961,1.0
CD8Teff_149Sm_CREB_unstim,0.08485113844168181,1.0
CD56hiCD16negNK_151Eu_p38_unstim,0.08658756637906541,1.0
CD8Tcm_150Nd_STAT5_unstim,0.08846540853516051,1.0
CD56hiCD16negNK_156Gd_IkB_unstim,0.08939821291826168,1.0
cMCs_150Nd_STAT5_IFNa,0.09008335464515689,1.0
mDCs_149Sm_CREB_IFNa,0.09097232762535366,1.0
MDSCs_154Sm_STAT3_IFNa,0.09121522498555693,1.0
CD8Tcm_167Er_ERK_unstim,0.09291173595013445,1.0
CD4Tem_149Sm_CREB_IL246,0.0933648199641194,1.0
ncMCs_159Tb_MAPKAPK2_unstim,0.0935894550434932,1.0
CD56loCD16posNK_156Gd_IkB_IL246,0.09541404912425745,1.0
CD8Tnaive_149Sm_CREB_IL246,0.09561527546837657,1.0
CD8Teff_166Er_NFkB_unstim,0.09617313702562391,1.0
CD4Teff_156Gd_IkB_IFNa,0.09649761708082238,1.0
Bcells_155Gd_S6_IFNa,0.09774210250487199,1.0
CD4Tcm_168Er_STAT6_IL246,0.09814638981334042,1.0
NKT_159Tb_MAPKAPK2_unstim,0.10311859239189006,1.0
Granulocytes_155Gd_S6_IL246,0.10322197842025184,1.0
CD56loCD16posNK_154Sm_STAT3_unstim,0.10500837317043424,1.0
CD4Tem_155Gd_S6_IL246,0.10596365459157583,1.0
cMCs_155Gd_S6_IFNa,0.1063423387778909,1.0
