,Mann-Whitney U-test,p-value
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,2989.5,0.05136478232130173
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes,2056.0,0.052190546589784295
Vessel_stromal_aggregatedNeighbors.Vessel,2038.0,0.05274354847854747
Tumor non-proliferating_stromal_pS6,2039.0,0.053099355397985507
B cells_intratumor_cellfrequency,2938.0,0.05329339537912474
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating,2961.0,0.054174564384279776
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Vessel,2044.0,0.055714331734106094
CD8 T cells_intratumor_pERK,2979.0,0.05621428409611069
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.memory,2980.0,0.05621805316882274
B cells_tumorfront_pERK,2974.0,0.057013443894726616
Myeloid Granulocytes_tumorfront_GranzymeB,2047.0,0.05725332423579198
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2971.0,0.05744440888780562
Myeloid M1 macrophages_intratumor_cellfrequency,2060.5,0.05751040117488998
B cells_tumorfront_pMAPKAPK2,2973.5,0.05778056052971535
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2973.0,0.05849594804871272
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2967.0,0.058805589611038454
CD8 T cells_tumorfront_VEGF,2974.0,0.05957026803243807
Tumor proliferating_tumorfront_pCREB,2973.5,0.05985123046850246
CD4 T cells regulatory_stromal_pSTAT3,2973.0,0.06000332784813559
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,2973.0,0.06013113384214067
Tumor non-proliferating_intratumor_pNFkB,2973.0,0.0601348933583408
CD8 T cells_stromal_pSTAT1,2972.5,0.060411309722774094
Tumor non-proliferating_intratumor_E-Cadherin,2972.0,0.060694184559168
Vessel_stromal_cellfrequency,2053.0,0.060694184559168
B cells_stromal_aggregatedNeighbors.Fibroblasts,2970.5,0.06100814787973079
CD8 T cells_intratumor_pp38,2970.0,0.0611382262946347
