cytof,linear_fit,quadratic_fit,pval,a,b,class,pattern
CD69posCD8Tmem_STAT1_IFNa,19.930369600679736,-23.365761459034204,2.363101742582552e-11,-4.9851061992443745e-5,-9.152167961406622e-4,quadratic,deceleration/increase
CD69posCD8Tmem_STAT3_IFNa,97.16622161892933,92.73386792199608,0.0010144591470741624,-7.999111566785916e-5,-0.00564603257607967,quadratic,deceleration/increase
CD69posCD8Tmem_S6_IFNa,663.1263227814708,-661.272681494377,0.4958083714450652,-9.670818292642523e-7,-5.104137408916858e-5,quadratic,deceleration/increase
CD69posCD8Tmem_IkB_IFNa,635.8996660685448,-634.0782423528243,0.6590548645194667,-1.169653246261975e-6,-8.444666245856565e-5,quadratic,deceleration/increase
CD69posCD8Tmem_MAPKAPK2_IFNa,810.9723576831793,-809.100635873225,1.7518157420830183e-5,-5.531136448917406e-7,1.251341625312067e-4,quadratic,deceleration/increase
CD69posCD8Tmem_NFkB_IFNa,495.3568756644107,-493.35727038165663,0.11962238392439492,8.787670765894859e-8,-1.7326959455378022e-4,quadratic,deceleration/decrease
CD69posCD8Tmem_ERK_IFNa,655.2741801519317,-653.5069055347527,0.10235713281229869,-1.2516429248897023e-6,-1.2641295806262048e-5,quadratic,deceleration/increase
CD69posCD8Tmem_STAT6_IFNa,266.9222816913006,-276.6768631159023,0.0018581027505745961,-3.184746368579735e-5,-0.0029182132490175763,quadratic,deceleration/increase
CD8Tnaive_CREB_IFNa,1195.6190630807732,-1193.7250922327567,0.987291233456421,1.3951906849384578e-7,1.4091336568873025e-5,quadratic,acceleration/increase
CD8Tnaive_STAT5_IFNa,136.20180042408393,134.27425241081636,0.006738359044707055,-7.14874719859493e-5,-0.0047276250743430405,quadratic,deceleration/increase
CD8Tnaive_p38_IFNa,641.5038172434173,-643.7037667449626,0.09291230795362826,-5.5303261872016765e-6,-4.941931102303512e-4,quadratic,deceleration/increase
CD8Tnaive_STAT1_IFNa,71.2221234046661,70.3952569231603,2.2643672286318284e-9,-4.892691457790393e-5,1.2728636101749284e-4,quadratic,deceleration/increase
CD8Tnaive_STAT3_IFNa,192.0588772939215,185.7392235719776,2.7740777217451034e-4,-1.244301807443763e-4,-0.009050851046365606,quadratic,deceleration/increase
CD8Tnaive_S6_IFNa,836.0615664179409,-834.162638751541,0.16092763582385847,4.5159949444526967e-7,9.76571627080175e-5,quadratic,acceleration/increase
CD8Tnaive_IkB_IFNa,646.1151007900069,-644.1521124796107,0.06687382766971907,5.147884499026423e-7,1.8120695831819837e-4,quadratic,acceleration/increase
CD8Tnaive_MAPKAPK2_IFNa,750.3284161356141,-750.0192218026506,4.3388485095537045e-4,-2.4515799058895775e-6,-6.552022667763129e-5,quadratic,deceleration/increase
CD8Tnaive_NFkB_IFNa,615.9436189682027,-614.2299464242662,0.1040462789042102,1.5826617308665333e-6,3.056629149952567e-5,quadratic,deceleration/decrease
CD8Tnaive_ERK_IFNa,853.5237512236346,-851.9637545181283,0.06027396934802015,-8.884661996046746e-7,-2.18734690712106e-5,quadratic,deceleration/increase
CD8Tnaive_STAT6_IFNa,92.1413751958356,-96.5962035795772,0.02631722351841584,-4.263165363422021e-5,-0.0038142084035865894,quadratic,deceleration/increase
CD8Tef_CREB_IFNa,977.2266486844762,-975.2304091303762,0.38925422248399544,-5.442143862728741e-8,1.47205119485073e-5,quadratic,deceleration/increase
CD8Tef_STAT5_IFNa,101.26395881761968,98.95650204638895,0.09305866709801866,-6.659294424757174e-5,-0.006020188871289033,quadratic,deceleration/increase
CD8Tef_p38_IFNa,621.5132791334014,-620.9385234927419,0.6438828044929858,-3.4595114206191176e-6,-3.0957720143024825e-4,quadratic,deceleration/increase
CD8Tef_STAT1_IFNa,3.541852385723825,-5.218216018272999,3.155374860710023e-7,-4.3426997749379896e-5,-0.0011018319463215393,quadratic,deceleration/increase
CD8Tef_STAT3_IFNa,144.19337465492853,136.52998037403532,0.0010923798885820808,-1.140729385000821e-4,-0.009351669780919098,quadratic,deceleration/increase
CD8Tef_S6_IFNa,720.5852671533721,-719.2629932509799,0.022302556615421146,1.7167863644639071e-6,2.9793986579647075e-4,quadratic,acceleration/increase
CD8Tef_IkB_IFNa,758.6524456406506,-756.8818892266114,0.14326339076177674,8.805287492408159e-7,1.5894214694102206e-4,quadratic,acceleration/increase
CD8Tef_MAPKAPK2_IFNa,690.1095711912232,-688.1100684306025,0.0011090524532917723,-5.153235701254569e-8,1.969683826873395e-4,quadratic,deceleration/increase
