,Mann-Whitney U-test,p-value
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,408.0,0.009850511983028538
CD8 T cells_stromal_eccentricity,853.5,0.010318808416452151
CD4 T cells regulatory_tumorfront_celldistance,407.0,0.01041998064047553
Myeloid Monocytes_tumorfront_pNFkB,853.0,0.010491104627995651
Tumor proliferating_tumorfront_eccentricity,852.5,0.01067185805439945
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,831.5,0.010726652627614531
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,851.0,0.010754596620147931
B cells_tumorfront_pCREB,843.5,0.010846090277791083
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,845.5,0.01096377634347868
CD4 T cells regulatory_tumorfront_E-Cadherin,851.0,0.011131414103560716
CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.proliferating,849.0,0.011167942508150109
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,850.0,0.011503056085781553
CD8 T cells_tumorfront_Ki67,850.0,0.011562228778901297
CD4 T cells memory_tumorfront_pp38,850.0,0.011585937810285822
B cells_tumorfront_pp38,841.5,0.011612779529816476
CD4 T cells memory_tumorfront_aggregatedNeighbors.B.cells,822.0,0.011634525844233754
CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells,849.0,0.011711698740789084
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,849.0,0.011712406384774908
CD4 T cells memory_tumorfront_pSTAT3,849.0,0.011970600497081308
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,848.0,0.012244504561816204
CD8 T cells_intratumor_pCREB,844.0,0.012271274814504077
Myeloid M1 macrophages_stromal_pSTAT3,848.0,0.012367275486607826
Fibroblasts_stromal_VEGF,848.0,0.012367275486607826
CD4 T cells naive_stromal_pSTAT3,847.0,0.012503011509709167
Myeloid Granulocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,452.0,0.012720835438494203
Myeloid Monocytes_stromal_aggregatedNeighbors.CD8.T.cells,844.0,0.01368828328240696
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,839.5,0.01370303056936067
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,836.0,0.013893255873631818
Myeloid Granulocytes_stromal_CD44,844.0,0.014053417221675697
