,Mann-Whitney U-test,p-value
CD8 T cells_intratumor_pSTAT3,676.0,0.5510096833750282
Tumor non-proliferating_intratumor_pS6,676.0,0.5517451569625414
B cells_tumorfront_CD44,674.0,0.5549179275140893
Myeloid M2 macrophages_stromal_pNFkB,572.5,0.5556104812502003
CD4 T cells regulatory_tumorfront_pp38,674.0,0.5585971005595516
B cells_stromal_CD36,573.0,0.5593803478303806
Tumor proliferating_intratumor_pMAPKAPK2,573.0,0.5593803478303806
Myeloid Granulocytes_stromal_CD36,675.0,0.5593803478303806
Tumor proliferating_intratumor_VEGF,574.0,0.567184792796567
CD4 T cells memory_tumorfront_pNFkB,574.5,0.571187189873888
Myeloid M1 macrophages_stromal_pSTAT3,574.5,0.5712162337306952
CD4 T cells regulatory_tumorfront_VEGF,575.5,0.5733503519048055
CD8 T cells_intratumor_pERK,673.0,0.574446549756778
Myeloid M2 macrophages_tumorfront_pMAPKAPK2,575.0,0.5749736735958264
Myeloid Monocytes_tumorfront_GranzymeB,575.5,0.5790965605331182
Myeloid Monocytes_tumorfront_pMAPKAPK2,577.5,0.5950085064966725
CD4 T cells regulatory_stromal_pSTAT1,670.0,0.5979008978822526
Tumor non-proliferating_tumorfront_CD36,670.0,0.5990205308644496
Tumor proliferating_tumorfront_pCREB,579.0,0.6070146114663794
Tumor non-proliferating_tumorfront_E-Cadherin,669.0,0.6070749025573434
Tumor non-proliferating_tumorfront_Ki67,669.0,0.6070749025573434
Vessel_stromal_pSTAT1,579.0,0.6070749025573434
CD4 T cells regulatory_tumorfront_pNFkB,667.5,0.6139343851241501
CD8 T cells_tumorfront_pS6,580.0,0.6151743185508618
Fibroblasts_tumorfront_pSTAT3,580.0,0.6151772820835655
Myeloid M2 macrophages_tumorfront_Ki67,581.0,0.6224912571356471
Myeloid M1 macrophages_tumorfront_GranzymeB,581.0,0.6233268671790483
Myeloid Granulocytes_stromal_pMAPKAPK2,582.0,0.6314227142969044
Tumor proliferating_intratumor_pp38,666.0,0.6314227142969044
Tumor proliferating_tumorfront_CD36,666.0,0.6314656345353773
CD8 T cells_tumorfront_Ki67,666.0,0.6315199787062711
Tumor non-proliferating_intratumor_VEGF,665.0,0.6397643586602231
Myeloid M1 macrophages_tumorfront_pMAPKAPK2,584.0,0.6480505748555627
Vessel_tumorfront_E-Cadherin,584.0,0.6480505748555627
Vessel_tumorfront_pSTAT1,664.0,0.6480505748555627
Fibroblasts_tumorfront_E-Cadherin,584.0,0.6480505748555627
B cells_tumorfront_pS6,586.0,0.6557593703203399
CD4 T cells regulatory_stromal_CD36,663.0,0.6557860335437409
B cells_tumorfront_pCREB,587.0,0.6643696132823828
CD8 T cells_intratumor_pp38,661.0,0.6725992349643091
CD4 T cells memory_stromal_pSTAT1,660.5,0.6773890497305104
B cells_tumorfront_pNFkB,589.0,0.6807091121429651
CD4 T cells regulatory_stromal_E-Cadherin,588.0,0.6810682968555042
Tumor non-proliferating_intratumor_pCREB,588.0,0.6816247518180969
Myeloid Monocytes_tumorfront_CD36,658.5,0.6943815731856663
Myeloid DCs_stromal_pMAPKAPK2,590.0,0.6977782440941753
Tumor proliferating_tumorfront_pp38,590.0,0.6985725011784067
Myeloid M1 macrophages_stromal_pp38,658.0,0.6986566289674558
