,coor1,coor2,cluster,pvalue_anova
NK_STAT5,-14.500137,-5.4108276,8,0.3385630973530579
CD56brightCD16negNK_STAT5,-14.311212,-4.6450567,8,0.031188308048752472
CD56dimCD16posNK_STAT5,-14.489319,-5.456834,8,0.21660516893517506
gdT_STAT5,-13.541596,-6.5476546,8,0.5127588173560513
Tcells_STAT5,-12.633128,-7.82178,8,0.12555414136271972
CD4T_STAT5,-12.431746,-8.24774,8,0.1332823307879857
CD4Tnaive_STAT5,-12.019279,-8.099893,8,0.0976895526945582
CD4Tmem_STAT5,-12.642458,-8.372636,8,0.16540704693799774
Treg_STAT5,-12.730253,-9.142061,8,0.12429286202779104
Tregnaive_STAT5,-11.377429,-8.218491,8,0.01633146344230729
Tregmem_STAT5,-12.745595,-9.130116,8,0.13876819615602715
Th1_STAT5,-11.789713,-7.4759226,8,0.13673310779909514
Th1mem_STAT5,-11.993278,-7.3428545,8,0.11149536959308659
Th1naive_STAT5,-11.051949,-7.731403,8,0.4602980164057219
Th2_STAT5,-12.321294,-8.973695,8,0.16921978556997583
CD8T_STAT5,-13.231549,-7.4890947,8,0.08271947972527872
CD8Tmem_STAT5,-13.148705,-7.4457464,8,0.11916102778542685
CD8Tnaive_STAT5,-13.578804,-7.8806963,8,0.20387136656318955
Granulocytes_STAT6,-15.773147,-16.258467,1,0.5143618941366455
Bcells_STAT6,-15.569423,-18.63745,1,0.49688389956679224
Bmem_STAT6,-15.534436,-18.735409,1,0.6385169739370855
Bnaive_STAT6,-15.858903,-16.8164,1,0.82362003665478
Baso_STAT6,-13.609533,-17.21361,1,0.41310589397810693
cMC_STAT6,-16.372921,-17.742933,1,0.7079179691218582
MDSC_STAT6,-16.732553,-17.944431,1,0.48126341346469004
DC_STAT6,-13.988018,-14.150909,1,0.7086120883729561
mDC_STAT6,-16.243568,-15.938947,1,0.37534066221025775
pDC_STAT6,-16.51817,-16.41153,1,0.5007676735014458
intMC_STAT6,-15.946242,-17.481373,1,0.9961019780755744
ncMC_STAT6,-15.779438,-16.050415,1,0.8169290548025695
NK_STAT6,-14.872305,-17.051188,1,0.889308167359879
CD56brightCD16negNK_STAT6,-13.966948,-17.160078,1,0.8727792534477795
CD56dimCD16posNK_STAT6,-14.912962,-17.231081,1,0.9867575820400926
gdT_STAT6,6.9518857,-6.1298704,7,0.9026940598894977
Tcells_STAT6,5.97565,-7.2476687,7,0.6627460997557459
CD4T_STAT6,6.1707106,-6.7797585,7,0.6189269308751777
CD4Tnaive_STAT6,6.7512197,-6.812767,7,0.578909306440881
CD4Tmem_STAT6,5.959882,-6.799846,7,0.6649728290181689
Treg_STAT6,6.678467,-7.031887,7,0.7141728098176856
Tregnaive_STAT6,7.3315864,-6.825396,7,0.3974872843106183
Tregmem_STAT6,6.478972,-6.5902495,7,0.6642297628728596
Th1_STAT6,6.585509,-7.5440993,7,0.8420091458543639
Th1mem_STAT6,6.4719143,-7.5668354,7,0.8564309680503207
Th1naive_STAT6,7.21874,-7.6835775,7,0.5639952167325122
Th2_STAT6,7.4598536,-7.1772475,7,0.3398559133324509
CD8T_STAT6,5.445146,-7.0606704,7,0.7111702915352552
CD8Tmem_STAT6,5.4116583,-6.968244,7,0.7611976688919339
CD8Tnaive_STAT6,5.5032983,-7.5999293,7,0.7533130360206992
Baso_Frequency,-8.013551,-6.5274777,8,0.1769061049116633
Bmem_Frequency,12.371032,11.224816,6,0.034361867576920176
Bnaive_Frequency,23.009462,16.481632,2,9.039756845194666e-05
CD4Tmem_Frequency,25.082188,13.93028,2,0.469263757854821
CD4Tnaive_Frequency,24.734926,15.385206,2,0.6081858171897172
CD8Tmem_Frequency,23.7292,15.931779,2,0.08051141841951726
CD8Tnaive_Frequency,24.148775,15.864557,2,0.1923220180149269
CD56brightCD16negNK_Frequency,-7.83567,-3.7326114,4,0.08673668657634763
CD56dimCD16posNK_Frequency,23.329935,14.021096,2,0.03290662006968973
gdT_Frequency,7.2200794,3.052284,9,0.38359212378730223
intMC_Frequency,18.424807,20.115164,2,0.736361628284012
mDC_Frequency,16.76526,18.2344,2,0.766978739001408
MDSC_Frequency,19.251564,20.273232,2,0.27543580925907846
ncMC_Frequency,22.211685,18.991201,2,0.6937074089614856
pDC_Frequency,-16.801935,-6.376913,8,0.06662314222597075
Th1mem_Frequency,20.861872,8.438265,2,0.22576560928991227
Th1naive_Frequency,-4.3972626,-6.9890738,4,0.6353458844168831
Th2_Frequency,1.554961,-2.1682787,9,0.26570115001955386
Tregmem_Frequency,23.099298,17.927814,2,0.6057525399794399
Tregnaive_Frequency,9.393755,8.256393,6,0.40889557213833294
Bcells_Frequency,23.24003,16.306002,2,0.0001400123509711602
cMC_Frequency,22.533266,13.900299,2,0.5108982128541444
DC_Frequency,24.57471,16.756775,2,0.10278197632706647
NK_Frequency,23.4319,14.054982,2,0.020031411190539444
Tcells_Frequency,25.642874,13.16031,2,0.42550811707434233
CD4T_Frequency,25.412683,13.50629,2,0.8933160365482018
Th1_Frequency,20.867073,8.45664,2,0.2670705466970546
Treg_Frequency,23.198084,17.948473,2,0.9772990270451168
CD8T_Frequency,24.499292,14.814548,2,0.08203999461518159
Granulocytes_Frequency,25.786411,12.91702,2,0.18154977879395923
