,C'=' 0.010,C'=' 0.044,C'=' 0.078,C'=' 0.112,C'=' 0.147,C'=' 0.181,C'=' 0.215,C'=' 0.249,C'=' 0.283,C'=' 0.317,C'=' 0.351,C'=' 0.386,C'=' 0.420,C'=' 0.454,C'=' 0.488,C'=' 0.522,C'=' 0.556,C'=' 0.590,C'=' 0.624,C'=' 0.659,C'=' 0.693,C'=' 0.727,C'=' 0.761,C'=' 0.795,C'=' 0.829,C'=' 0.863,C'=' 0.898,C'=' 0.932,C'=' 0.966,C'=' 1.000
artificial.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.003,0.006,0.009,0.013,0.016,0.02,0.024,0.03,0.034,0.043,0.052,0.064,0.073,0.083,0.093,0.1,0.107,0.117,0.123,0.128
artificial.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002
artificial.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.004,0.006,0.008,0.01,0.012,0.013,0.015,0.015,0.015,0.015,0.016,0.016,0.018,0.019,0.02,0.02
artificial.87,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.02,0.045,0.066,0.088,0.115,0.141,0.156,0.168,0.181,0.19,0.202,0.208,0.215,0.223,0.229,0.233,0.239,0.242,0.248,0.25,0.255,0.259
artificial.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.018,0.038,0.073,0.102,0.133,0.162,0.184,0.218,0.246,0.278,0.304,0.325,0.352,0.371,0.386,0.395,0.404,0.415,0.427
artificial.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.90,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.007,0.006,0.007,0.006,0.006,0.006,0.007,0.007
artificial.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.005,0.007,0.009,0.013,0.016,0.019,0.022,0.022,0.023,0.025,0.028,0.028,0.03,0.032,0.032,0.036,0.038,0.038
artificial.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.006,0.013,0.016,0.02,0.03,0.037,0.043,0.048,0.051,0.064,0.075,0.078,0.083,0.086,0.093,0.096,0.099,0.101,0.106
artificial.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.018,0.043,0.06,0.072,0.08,0.08,0.082,0.084,0.084,0.083,0.085,0.087,0.09,0.091,0.096,0.098,0.096,0.099,0.099,0.101
artificial.94,0.0,0.0,0.0,0.0,0.0,0.011,0.033,0.046,0.064,0.07,0.085,0.128,0.18,0.262,0.325,0.386,0.439,0.493,0.537,0.57,0.607,0.63,0.651,0.67,0.687,0.702,0.716,0.73,0.74,0.744
artificial.95,0.0,0.0,0.022,0.09,0.179,0.268,0.31,0.325,0.334,0.333,0.329,0.323,0.318,0.314,0.308,0.3,0.289,0.281,0.271,0.266,0.257,0.252,0.249,0.241,0.235,0.23,0.222,0.218,0.214,0.211
artificial.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.005,0.005,0.01,0.011,0.021,0.026,0.031,0.042,0.051,0.058,0.062,0.065,0.073,0.076,0.08,0.081,0.082,0.086,0.088
artificial.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.012,0.034,0.079,0.128,0.167,0.209,0.26,0.295,0.328,0.36,0.394,0.429,0.444,0.465,0.474,0.493,0.51,0.523,0.535,0.547,0.552
artificial.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.024,0.04,0.072,0.111,0.139,0.183,0.214,0.239,0.256,0.275,0.284,0.287,0.295,0.306,0.312,0.321,0.323,0.325,0.324,0.329,0.33
artificial.100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.021,0.061,0.125,0.17,0.211,0.25,0.277,0.314,0.336,0.365,0.4,0.421,0.438,0.462,0.487,0.511,0.53,0.538,0.546,0.558,0.565,0.573
