,Mann-Whitney U-test,p-value
Myeloid M1 macrophages_stromal_pSTAT1,2645.0,0.5895958348704222
CD8 T cells_stromal_VEGF,2643.0,0.5952386989298971
Myeloid M1 macrophages_tumorfront_VEGF,2642.0,0.5980805556089578
Vessel_stromal_pNFkB,2383.0,0.5980809391549968
Myeloid Monocytes_tumorfront_pp38,2638.5,0.6080365361495159
Tumor non-proliferating_tumorfront_CD36,2638.0,0.6094798284339383
CD4 T cells regulatory_stromal_pNFkB,2637.0,0.6120401789792889
Myeloid DCs_tumorfront_GranzymeB,2636.0,0.614248720778998
Myeloid M1 macrophages_tumorfront_pS6,2392.0,0.6238622120458681
CD4 T cells regulatory_stromal_pSTAT1,2632.0,0.626344184298822
CD8 T cells_tumorfront_pERK,2632.0,0.6267263059292372
Vessel_tumorfront_pMAPKAPK2,2394.0,0.6296564850188734
Myeloid Monocytes_tumorfront_pERK,2395.5,0.6339152698954115
Myeloid DCs_stromal_GranzymeB,2629.0,0.6353120113333139
Vessel_stromal_pSTAT3,2396.0,0.6354732739649772
Myeloid DCs_stromal_pERK,2398.0,0.6411168066197679
Myeloid Granulocytes_stromal_pCREB,2627.0,0.6412357452431415
Tumor non-proliferating_tumorfront_pNFkB,2627.0,0.6413126426847384
Fibroblasts_tumorfront_pCREB,2398.5,0.6427756292107958
CD4 T cells naive_tumorfront_pS6,2399.0,0.6437782732897932
Myeloid M1 macrophages_stromal_GranzymeB,2399.0,0.6442406996497324
CD8 T cells_stromal_pp38,2624.0,0.65010652371241
Tumor non-proliferating_stromal_pSTAT3,2401.5,0.6503321679961918
Myeloid Granulocytes_stromal_pS6,2402.0,0.6529831430424178
Vessel_stromal_GranzymeB,2402.0,0.6530578996589023
Fibroblasts_tumorfront_E-Cadherin,2403.0,0.6560078463964377
Myeloid Monocytes_tumorfront_pCREB,2621.5,0.6574730778269702
Tumor non-proliferating_stromal_GranzymeB,2405.0,0.6608301638522889
Tumor proliferating_tumorfront_pNFkB,2620.0,0.6619052175547926
Fibroblasts_tumorfront_GranzymeB,2407.0,0.6678609813952384
Myeloid Monocytes_stromal_pERK,2408.5,0.6723243215966574
Myeloid M1 macrophages_tumorfront_GranzymeB,2616.0,0.6738186744632662
Fibroblasts_tumorfront_Ki67,2409.0,0.6738189965248078
Vessel_tumorfront_pSTAT3,2410.0,0.676805723972109
Myeloid DCs_stromal_VEGF,2612.0,0.685621622609036
Myeloid M1 macrophages_stromal_pSTAT3,2609.5,0.6933223217227262
CD4 T cells memory_tumorfront_pMAPKAPK2,2607.5,0.6993551141921394
Myeloid Granulocytes_stromal_pSTAT3,2607.0,0.7007707033699723
CD4 T cells memory_tumorfront_pCREB,2606.5,0.7023838820339972
Tumor proliferating_intratumor_pERK,2605.0,0.7067820038770796
Myeloid DCs_stromal_pNFkB,2605.0,0.7068128014894257
Myeloid DCs_stromal_pp38,2604.0,0.7097890834892071
Vessel_tumorfront_Ki67,2604.0,0.7099865695104823
Vessel_stromal_pCREB,2422.0,0.713031617117491
Myeloid Monocytes_stromal_CD36,2601.0,0.7191342811182985
Tumor non-proliferating_tumorfront_pp38,2601.0,0.7191354084082076
Myeloid M1 macrophages_stromal_pCREB,2601.0,0.7191354084082076
Fibroblasts_stromal_E-Cadherin,2601.0,0.7191354084082076
Myeloid Granulocytes_tumorfront_E-Cadherin,2600.5,0.7202904641446392
Tumor non-proliferating_tumorfront_pERK,2426.0,0.7252571659493606
CD4 T cells memory_stromal_pERK,2426.5,0.7267876226516671
Myeloid Monocytes_tumorfront_Ki67,2597.0,0.7312448903469135
Myeloid Monocytes_tumorfront_pS6,2596.5,0.7329246630362747
Fibroblasts_tumorfront_pNFkB,2429.0,0.7344727066103716
Myeloid M1 macrophages_tumorfront_pCREB,2594.0,0.7406375475280598
Tumor non-proliferating_intratumor_pSTAT3,2594.0,0.7406378095067281
Myeloid M2 macrophages_stromal_pSTAT3,2593.0,0.7437256105339823
CD4 T cells memory_stromal_pNFkB,2592.5,0.745270040524227
Myeloid M2 macrophages_tumorfront_pMAPKAPK2,2434.0,0.7499024786123298
Myeloid DCs_tumorfront_pp38,2590.0,0.752364234014514
Myeloid DCs_stromal_Ki67,2590.0,0.7526312930856462
Vessel_tumorfront_pCREB,2435.0,0.7530177503317694
Myeloid Granulocytes_stromal_pNFkB,2437.0,0.7591428090003495
Vessel_tumorfront_pSTAT1,2587.0,0.7623447642103577
Myeloid DCs_tumorfront_pNFkB,2585.0,0.7679671941846834
Myeloid M1 macrophages_tumorfront_pp38,2585.0,0.7685818624478126
Myeloid DCs_tumorfront_E-Cadherin,2440.5,0.769456074144407
CD4 T cells regulatory_tumorfront_pS6,2584.0,0.7706537921441288
Myeloid M2 macrophages_tumorfront_VEGF,2584.0,0.7716933952774283
Myeloid M2 macrophages_tumorfront_pNFkB,2441.0,0.7716933952774283
Vessel_tumorfront_CD36,2584.0,0.7717064202181546
Myeloid M2 macrophages_stromal_Ki67,2583.5,0.7732676635956357
Vessel_stromal_pMAPKAPK2,2446.0,0.7873826701434636
CD4 T cells memory_tumorfront_Ki67,2578.5,0.7889476030456208
Myeloid Monocytes_tumorfront_pMAPKAPK2,2577.5,0.792095264730061
Myeloid Monocytes_stromal_pNFkB,2577.0,0.7936769215121982
Tumor non-proliferating_intratumor_pERK,2577.0,0.7936777667165233
Myeloid DCs_stromal_pCREB,2574.0,0.8030535593110808
Myeloid M1 macrophages_stromal_Ki67,2451.0,0.8031455458845858
Myeloid M2 macrophages_tumorfront_pERK,2453.0,0.8094626146677044
Myeloid M2 macrophages_tumorfront_pSTAT1,2455.0,0.8157913492502586
Tumor non-proliferating_tumorfront_CD44,2455.0,0.8158140964054512
Tumor non-proliferating_tumorfront_pMAPKAPK2,2456.0,0.8189889104856449
Fibroblasts_stromal_pp38,2569.0,0.8189889104856449
Myeloid M2 macrophages_tumorfront_E-Cadherin,2567.5,0.8237414261564182
Myeloid DCs_stromal_pS6,2459.0,0.8284504397599245
Myeloid Monocytes_stromal_pCREB,2566.0,0.828530266256792
Fibroblasts_stromal_VEGF,2566.0,0.8285309737539037
Tumor proliferating_tumorfront_CD44,2565.0,0.8317076395348084
Tumor non-proliferating_tumorfront_pSTAT3,2461.0,0.8349065282918153
Myeloid Granulocytes_stromal_pSTAT1,2563.0,0.8380046417583208
Myeloid M2 macrophages_stromal_VEGF,2563.0,0.8380977378099757
Myeloid M1 macrophages_stromal_VEGF,2563.0,0.8380984069844041
Tumor proliferating_tumorfront_pSTAT3,2463.0,0.8412732584194402
Tumor proliferating_tumorfront_pMAPKAPK2,2562.0,0.8412837625532735
Myeloid Monocytes_stromal_E-Cadherin,2561.0,0.8444894685941776
Tumor proliferating_tumorfront_pERK,2465.0,0.8476810074998344
Vessel_tumorfront_pNFkB,2465.0,0.8476898359718075
Myeloid M1 macrophages_tumorfront_E-Cadherin,2559.0,0.8508919178893659
Myeloid M2 macrophages_stromal_pNFkB,2467.0,0.8540961648219736
Myeloid M2 macrophages_stromal_GranzymeB,2468.0,0.8573032841895192
Myeloid M2 macrophages_tumorfront_Ki67,2555.0,0.8636846527696249
Vessel_stromal_E-Cadherin,2471.0,0.866939131655077
B cells_stromal_pS6,2553.0,0.8699158869497273
Vessel_tumorfront_pp38,2553.0,0.8701553557704149
Myeloid M1 macrophages_tumorfront_pMAPKAPK2,2552.0,0.8733735974424709
Vessel_stromal_VEGF,2552.0,0.8733737290019297
Fibroblasts_stromal_pMAPKAPK2,2551.0,0.8765941990043683
Myeloid Granulocytes_tumorfront_pNFkB,2550.0,0.87962379427035
Vessel_tumorfront_GranzymeB,2476.0,0.883041219422788
Myeloid M2 macrophages_stromal_pCREB,2477.0,0.8862671912021225
Myeloid DCs_stromal_pSTAT1,2546.5,0.8910336705423478
CD8 T cells_stromal_pNFkB,2480.0,0.8959559391073131
CD4 T cells memory_tumorfront_pS6,2544.5,0.89757099535747
Vessel_tumorfront_E-Cadherin,2544.0,0.8991917803805517
Vessel_tumorfront_VEGF,2481.0,0.8991917803805517
CD4 T cells regulatory_stromal_GranzymeB,2543.0,0.90234401405123
CD4 T cells naive_stromal_GranzymeB,2542.0,0.9056193010147479
Fibroblasts_stromal_GranzymeB,2483.0,0.9056640972302695
Fibroblasts_tumorfront_pSTAT1,2542.0,0.9056640972302695
CD4 T cells memory_tumorfront_pERK,2541.0,0.908894650253278
Myeloid Granulocytes_tumorfront_pSTAT1,2540.0,0.9119033336271325
Myeloid M1 macrophages_tumorfront_pNFkB,2540.0,0.9121423193248848
Vessel_stromal_pSTAT1,2485.0,0.9121426860623649
Vessel_stromal_pp38,2487.0,0.9186271197897669
Fibroblasts_stromal_pCREB,2489.0,0.9251169701589059
Fibroblasts_tumorfront_pp38,2536.0,0.9251169701589059
B cells_stromal_pERK,2535.0,0.9282117968794532
CD4 T cells regulatory_stromal_Ki67,2534.0,0.9315014601172099
Myeloid M2 macrophages_tumorfront_pCREB,2492.0,0.9348571484935344
Fibroblasts_tumorfront_VEGF,2531.5,0.9397366496338359
Myeloid DCs_tumorfront_pMAPKAPK2,2531.0,0.941202363648765
CD4 T cells naive_stromal_pCREB,2530.0,0.9445883416449911
Myeloid M2 macrophages_stromal_pp38,2530.0,0.9446144911090192
Myeloid DCs_tumorfront_Ki67,2496.0,0.947688278015055
Myeloid Granulocytes_tumorfront_pERK,2496.5,0.9494009550645259
CD4 T cells naive_stromal_pERK,2497.0,0.9510986469168752
Tumor proliferating_tumorfront_Ki67,2500.0,0.9608864433781216
