,Spearman corr,pvalue,Lasso mean coef,Lasso ModelIndex,Lasso rank,Lasso 1SE mean coef,Lasso 1SE ModelIndex,Lasso 1SE rank,ElasticNet mean coef,ElasticNet ModelIndex,ElasticNet rank,rank sum
Bcells_155Gd_S6_LPS,0.1313314167044264,0.1091631851043124,0.0,0.0,448,0.0,0.0,201,0.0,0.0,507,401.0
CD8Tnaive_149Sm_CREB_IL246,0.2097031265541217,0.0100081881368519,0.0,0.0,501,0.0,0.0,75,0.0,0.0,528,401.25
ncMCs_149Sm_CREB_unstim,0.1366184431892019,0.0955032867349679,0.0,0.0,480,0.0,0.0,189,0.0,0.0,456,401.25
CD8Tcm_151Eu_p38_unstim,0.0302759942311566,0.7130327490210886,0.0,0.0,311,0.0,0.0,671,0.0,0.0,313,401.5
CD8Teff_167Er_ERK_IFNa,0.0090043635823343,0.9129168414965922,0.0,0.0,283,0.0,0.0,755,0.0,0.0,285,401.5
CD4negCD8negTcells_159Tb_MAPKAPK2_unstim,0.2089649918677993,0.0102797391341899,0.0,0.0,503,0.0,0.0,68,0.0,0.0,532,401.5
CD8Tem_149Sm_CREB_unstim,0.2089823841566607,0.0102732667854205,0.0,0.0,502,0.0,0.0,76,0.0,0.0,529,402.25
cMCs_155Gd_S6_unstim,0.084675513063654,0.302899660904837,0.0,0.0,592,0.0,0.0,346,-0.07871136304285922,0.04082767947604533,79,402.25
cMCs_156Gd_IkB_GMCSF,0.1312816295440185,0.1092987274058692,0.0,0.0,449,0.0,0.0,203,0.0,0.0,509,402.5
CD4Tnaive_168Er_STAT6_unstim,0.0089385734060811,0.913550633168036,0.0,0.0,284,0.0,0.0,756,0.0,0.0,286,402.5
Granulocytes_167Er_ERK_unstim,-0.1362699436002613,0.0963598359357725,0.0,0.0,481,0.0,0.0,191,0.0,0.0,458,402.75
ncMCs_168Er_STAT6_GMCSF,0.1300406206760533,0.1127200369997686,0.0,0.0,452,0.0,0.0,206,0.0,0.0,503,403.25
Tregs_156Gd_IkB_unstim,0.008248665611858,0.9202000832074048,0.0,0.0,285,0.0,0.0,757,0.0,0.0,287,403.5
mDCs_156Gd_IkB_unstim,-0.0015765519959308,0.9847236587242636,0.0,0.0,267,0.0,0.0,717,0.0,0.0,363,403.5
CD4Tcm_155Gd_S6_IFNa,0.1310824809023871,0.1098422141442324,0.0,0.0,450,0.0,0.0,204,0.0,0.0,510,403.5
CD8Tcm_149Sm_CREB_IL246,0.1362375761594901,0.0964396970603503,0.0,0.0,482,0.0,0.0,192,0.0,0.0,459,403.75
intMCs_156Gd_IkB_IFNa,0.0016163046003834,0.9843385156405524,0.0,0.0,266,0.0,0.0,716,0.0,0.0,367,403.75
Granulocytes_166Er_NFkB_GMCSF,0.2079182943146763,0.0106759301568154,0.0,0.0,504,0.0,0.0,77,0.0,0.0,530,403.75
CD56hiCD16negNK_150Nd_STAT5_unstim,0.0055975540544797,0.9457993374420268,0.0,0.0,296,0.0,0.0,724,0.0,0.0,300,404.0
mDCs_151Eu_p38_unstim,-0.0050478189952093,0.9511154204633334,0.0,0.0,297,0.0,0.0,725,0.0,0.0,299,404.5
MDSCs_156Gd_IkB_IL246,0.0066777425296241,0.93536080425581,0.0,0.0,293,0.0,0.0,721,0.0,0.0,312,404.75
CD4Tem_166Er_NFkB_IL246,0.2078685071542684,0.0106951057248859,0.0,0.0,505,0.0,0.0,79,0.0,0.0,531,405.0
CD8Tnaive_154Sm_STAT3_IL246,0.0859450856540543,0.2956816394001959,0.0,0.0,585,0.0,0.0,340,0.021908430374628834,0.011593407720040404,110,405.0
cMCs_155Gd_S6_GMCSF,0.2638132724368485,0.0011063042987749,0.0,0.0,516,0.0,0.0,47,0.0,0.0,545,406.0
