,Mann-Whitney U-test,p-value
Tumor proliferating_tumorfront_Ki67,2656.5,0.5575867258333409
Fibroblasts_tumorfront_VEGF,2656.0,0.5589689654894652
Myeloid M1 macrophages_tumorfront_GranzymeB,2656.0,0.5589689654894652
Tumor non-proliferating_stromal_GranzymeB,2371.0,0.5641340136138873
Myeloid DCs_stromal_pNFkB,2654.0,0.5643310194530448
Vessel_tumorfront_pMAPKAPK2,2371.0,0.5644796196873876
B cells_stromal_Ki67,2653.0,0.5668901712807655
CD8 T cells_tumorfront_pMAPKAPK2,2653.0,0.5672300968447934
Myeloid M1 macrophages_tumorfront_pS6,2375.0,0.5755787167821864
CD4 T cells naive_stromal_Ki67,2646.5,0.5851952555841449
Myeloid DCs_stromal_VEGF,2646.5,0.5851952555841449
Fibroblasts_tumorfront_pMAPKAPK2,2381.0,0.5924180334625854
CD4 T cells memory_stromal_pNFkB,2638.5,0.6080489423274208
Tumor proliferating_tumorfront_pSTAT3,2637.5,0.6108901530043495
Myeloid M2 macrophages_tumorfront_E-Cadherin,2635.5,0.6166217941515555
Myeloid M2 macrophages_stromal_VEGF,2634.5,0.6195319691191546
CD4 T cells naive_tumorfront_Ki67,2634.0,0.6205551049074156
CD4 T cells regulatory_tumorfront_pS6,2633.0,0.623257671067134
Myeloid Monocytes_stromal_pMAPKAPK2,2632.0,0.626756290573047
Myeloid Granulocytes_stromal_pNFkB,2394.0,0.6296191547891918
Myeloid M2 macrophages_tumorfront_pSTAT1,2630.0,0.6325192449864208
CD8 T cells_stromal_pp38,2628.5,0.6369274810079832
Myeloid M2 macrophages_tumorfront_pS6,2398.0,0.6412930734714406
Myeloid DCs_stromal_pERK,2398.5,0.6426174321952485
CD8 T cells_stromal_VEGF,2623.5,0.6515815447968616
Myeloid M2 macrophages_tumorfront_GranzymeB,2623.0,0.6530388752770595
B cells_stromal_pERK,2622.0,0.655720512224335
Vessel_tumorfront_pCREB,2409.0,0.6738189965248078
Myeloid DCs_stromal_pSTAT1,2615.0,0.6766266663225716
Myeloid Monocytes_tumorfront_pCREB,2614.5,0.6782974996236266
Vessel_stromal_VEGF,2613.0,0.6827944130021657
Myeloid Granulocytes_stromal_pS6,2414.0,0.6887861403436658
Myeloid M1 macrophages_stromal_GranzymeB,2414.0,0.688803137244138
Myeloid Granulocytes_tumorfront_pNFkB,2609.0,0.6945804076574744
CD4 T cells regulatory_stromal_pNFkB,2609.0,0.6947385909220904
Tumor non-proliferating_tumorfront_pMAPKAPK2,2416.0,0.6948315610228825
Myeloid M1 macrophages_stromal_VEGF,2607.0,0.7008793449267233
Myeloid Monocytes_tumorfront_Ki67,2606.0,0.7038556903411046
Vessel_stromal_pMAPKAPK2,2420.0,0.7069461458634521
Fibroblasts_tumorfront_pCREB,2421.0,0.7099865695104823
Myeloid M2 macrophages_stromal_GranzymeB,2421.5,0.711508229307769
Tumor proliferating_intratumor_pERK,2601.0,0.719091716001548
Fibroblasts_stromal_pNFkB,2600.0,0.7221940636444089
Myeloid M1 macrophages_tumorfront_pCREB,2600.0,0.7221940636444089
Myeloid Granulocytes_tumorfront_pSTAT3,2598.0,0.7281358311090549
Myeloid DCs_stromal_E-Cadherin,2598.0,0.7282250999336835
B cells_tumorfront_Ki67,2596.0,0.7321361651681078
Myeloid DCs_tumorfront_Ki67,2596.5,0.7321433582518132
CD4 T cells memory_tumorfront_E-Cadherin,2595.5,0.7360094673706544
CD4 T cells naive_stromal_pERK,2595.0,0.737456688277338
CD4 T cells regulatory_stromal_GranzymeB,2595.0,0.7374720652687987
Myeloid M2 macrophages_stromal_pNFkB,2593.5,0.7421814486195961
Myeloid Monocytes_stromal_E-Cadherin,2593.0,0.743726387816
Fibroblasts_stromal_pMAPKAPK2,2592.0,0.7468196136792855
